property_id,prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facilities_provided
1123,8 Kinrara,2400,Puchong,Service Residence,3,2,2,1288,Fully Furnished,Kuala Lumpur,"Swimming Pool, Playground, Security, Jogging Track, Gymnasium, Air-Cond, Near KTM/LRT, Washing Machine"
1677,8 Petaling,2599,Sri Petaling,Condominium,4,3,5,1899,Fully Furnished,Kuala Lumpur,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court, Air-Cond, Near KTM/LRT, Washing Machine"
1751,Abadi Indah,998,Taman Desa,Condominium,3,1,2,830,Partially Furnished,Kuala Lumpur,"Security, Playground, Minimart, Tennis Court, Squash Court, Swimming Pool, Gymnasium, Air-Cond"
1752,Abadi Villa,1700,Taman Desa,Condominium,3,1,2,1240,Fully Furnished,Kuala Lumpur,"Security, Swimming Pool, Sauna, Tennis Court, Barbeque area, Playground, Gymnasium, Air-Cond, Washing Machine"
1560,Acappella Residences,1500,Shah Alam,Service Residence,1,1,1,700,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium, Air-Cond"
1035,Aera Residence,2000,Petaling Jaya,Condominium,3,2,2,850,Unfurnished,Selangor,"Security, Swimming Pool, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Lift, Squash Court, Minimart, Playground, Air-Cond"
933,Agile Mont Kiara,9000,Mont Kiara,Condominium,5,2,4,2056,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
1378,Akasa Cheras South,1400,Seri Kembangan,Service Residence,2,2,2,850,Partially Furnished,Selangor,"Lift, Security, Swimming Pool, Playground, Gymnasium, Minimart, Tennis Court, Air-Cond"
1124,Akasia Apartment (Puchong),1400,Puchong,Apartment,3,1,2,818,Partially Furnished,Selangor,"Playground, Air-Cond, Washing Machine, Near KTM/LRT"
1561,Alam Idaman,1350,Shah Alam,Service Residence,3,2,2,926,Partially Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Minimart, Air-Cond"
1562,Alam Prima,1500,Shah Alam,Apartment,3,2,2,850,Partially Furnished,Selangor,"Security, Multipurpose hall, Swimming Pool, Lift, Minimart, Washing Machine, Air-Cond"
600,Alam Puri,1900,Jalan Ipoh,Condominium,3,1,2,1011,Fully Furnished,Kuala Lumpur,"Jogging Track, Gymnasium, Security, Playground, Multipurpose hall, Minimart, Barbeque area, Swimming Pool, Air-Cond, Near KTM/LRT, Washing Machine"
1563,Alam Sanjung @ Subang West,1700,Shah Alam,Apartment,3,2,2,912,Partially Furnished,Selangor,"Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Air-Cond"
1564,Alami Residensi,1600,Shah Alam,Service Residence,3,2,2,1082,Partially Furnished,Selangor,"Swimming Pool, Multipurpose hall, Security, Lift, Playground, Barbeque area, Air-Cond"
1354,Alanis @ Warisan Puteri,1150,Sepang,Condominium,2,2,1,559,Partially Furnished,Selangor,"Security, Barbeque area, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Lift, Air-Cond"
166,Almyra Residences,1500,Bangi,Service Residence,3,2,2,1055,Partially Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court, Air-Cond"
1796,Alpha Villa,1500,Wangsa Maju,Apartment,4,1,2,1070,Partially Furnished,Kuala Lumpur,"Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track, Air-Cond, Near KTM/LRT"
572,Amadesa,1200,Desa Petaling,Condominium,2,1,2,729,Partially Furnished,Kuala Lumpur,"Security, Minimart, Swimming Pool, Gymnasium, Tennis Court, Lift, Playground, Multipurpose hall, Sauna, Barbeque area, Jogging Track, Air-Cond, Washing Machine, Internet"
1565,Aman 1,1200,Shah Alam,Apartment,3,2,2,870,Partially Furnished,Selangor,"Barbeque area, Security, Swimming Pool, Gymnasium, Lift, Playground, Washing Machine"
742,Aman Dua,1000,Kepong,Apartment,3,1,1,850,Partially Furnished,Kuala Lumpur,"Swimming Pool, Security, Minimart, Lift, Playground, Jogging Track, Air-Cond, Washing Machine"
1379,Aman Heights,1200,Seri Kembangan,Condominium,3,1,2,1238,Partially Furnished,Selangor,"Gymnasium, Sauna, Playground, Squash Court, Club house, Security, Barbeque area, Swimming Pool, Minimart, Multipurpose hall, Air-Cond"
737,Aman Perdana Apartment,800,Kapar,Apartment,3,1,2,700,Partially Furnished,Selangor,Jogging Track
743,Aman Puri,850,Kepong,Apartment,3,1,2,650,Partially Furnished,Kuala Lumpur,"Swimming Pool, Playground, Barbeque area, Security, Lift"
744,Amanja Condo,1700,Kepong,Condominium,3,2,2,1000,Partially Furnished,Kuala Lumpur,"Security, Swimming Pool, Playground, Gymnasium, Air-Cond"
138,Amanja Semi-D Suites,1500,Bandar Sri Damansara,Condominium,2,1,2,790,Partially Furnished,Selangor,"Gymnasium, Playground, Security, Swimming Pool, Squash Court, Lift, Minimart, Air-Cond, Near KTM/LRT, Washing Machine"
221,Amara Service Residences,1180,Batu Caves,Condominium,3,2,2,1051,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Air-Cond, Near KTM/LRT, Washing Machine"
307,Amaya Maluri,1700,Cheras,Service Residence,1,1,2,719,Fully Furnished,Kuala Lumpur,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Minimart, Air-Cond, Washing Machine"
1690,Amaya Saujana,2800,Subang Jaya,Condominium,3,2,3,1569,Fully Furnished,Selangor,"Swimming Pool, Sauna, Gymnasium, Lift, Security, Barbeque area, Tennis Court, Club house, Multipurpose hall, Minimart, Playground, Air-Cond, Near KTM/LRT, Washing Machine"
1036,Amcorp Serviced Suites,1280,Petaling Jaya,Studio,1,1,1,500,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Gymnasium, Minimart, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
638,Ameera Residence,1100,Kajang,Condominium,3,2,2,1250,Unfurnished,Selangor,"Lift, Security, Swimming Pool, Playground, Barbeque area, Gymnasium, Multipurpose hall, Air-Cond, Near KTM/LRT"
639,Amerin Residence,1600,Kajang,Service Residence,2,1,2,857,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Air-Cond, Washing Machine"
3,Ampang 212,4000,Ampang,Condominium,3,1,2,1572,Fully Furnished,Kuala Lumpur,"Swimming Pool, Squash Court, Gymnasium, Security, Lift, Air-Cond, Near KTM/LRT, Washing Machine"
4,Ampang Damai,1400,Ampang,Condominium,3,1,2,1196,Partially Furnished,Selangor,"Multipurpose hall, Swimming Pool, Security, Barbeque area, Playground, Squash Court, Lift, Minimart, Air-Cond, Washing Machine"
5,Ampang Prima,1200,Ampang,Condominium,3,1,2,1001,Partially Furnished,Selangor,"Gymnasium, Club house, Swimming Pool, Tennis Court, Security, Playground, Sauna, Minimart, Jogging Track, Barbeque area, Lift, Air-Cond"
1566,Amverton Greens,1850,Shah Alam,Condominium,3,2,2,1068,Unfurnished,Selangor,"Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Jogging Track, Sauna, Multipurpose hall, Club house, Lift, Air-Cond"
1300,Anggerik 2,750,Semenyih,Apartment,2,1,2,1000,Partially Furnished,Selangor,"Security, Lift, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Playground, Air-Cond, Near KTM/LRT"
1125,Anggerik Apartment (Puchong),800,Puchong,Apartment,3,2,2,704,Unfurnished,Selangor,"Playground, Security, Internet"
1301,Anggerik Residensi,1250,Semenyih,Apartment,3,1,2,1008,Partially Furnished,Selangor,"Security, Lift, Playground, Minimart, Multipurpose hall, Washing Machine"
640,Anggerik Villa 2 Apartment,900,Kajang,Apartment,3,1,2,1050,Partially Furnished,Selangor,"Security, Sauna, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Jogging Track, Club house, Tennis Court, Near KTM/LRT, Washing Machine, Internet"
1661,Anggun Puri,1650,Solaris Dutamas,Condominium,3,1,2,1050,Partially Furnished,Kuala Lumpur,"Gymnasium, Swimming Pool, Tennis Court, Playground, Club house, Security, Minimart, Jogging Track, Air-Cond"
806,Anggun Residences,2200,KL City,Service Residence,1,1,1,751,Partially Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
308,Angkasa Condominiums,1400,Cheras,Condominium,3,1,2,950,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court, Air-Cond, Washing Machine"
934,Angkupuri,2500,Mont Kiara,Condominium,3,1,2,1250,Fully Furnished,Kuala Lumpur,"Jogging Track, Gymnasium, Tennis Court, Barbeque area, Swimming Pool, Playground, Squash Court, Sauna, Minimart, Security, Air-Cond"
222,Angsana Apartment (Batu Caves),1150,Batu Caves,Apartment,3,1,2,890,Partially Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Minimart, Near KTM/LRT, Air-Cond"
309,Angsana Apartment (Cheras),900,Cheras,Condominium,3,1,2,900,Partially Furnished,Selangor,"Lift, Swimming Pool, Playground, Minimart, Air-Cond"
855,Angsana Apartment (Pandan Indah),1300,KLCC,Condominium,3,1,2,900,Unfurnished,Kuala Lumpur,"Lift, Security, Swimming Pool, Playground, Jogging Track, Minimart, Near KTM/LRT"
1268,Anjali @ North Kiara,2400,Segambut,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,"Barbeque area, Security, Sauna, Squash Court, Club house, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Minimart, Lift, Air-Cond, Washing Machine"
266,Anjung Hijau,1499,Bukit Jalil,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,"Jogging Track, Barbeque area, Security, Minimart, Playground, Air-Cond, Near KTM/LRT"
1320,Anjung Villa,1600,Sentul,Condominium,3,1,2,1300,Fully Furnished,Kuala Lumpur,"Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Air-Cond, Near KTM/LRT"
912,Anyaman Residence,1700,Kuchai Lama,Condominium,3,1,2,935,Fully Furnished,Kuala Lumpur,"Security, Barbeque area, Swimming Pool, Gymnasium, Jogging Track, Playground, Multipurpose hall, Lift, Minimart, Air-Cond, Near KTM/LRT, Washing Machine"
1037,Apartmen Harmoni,650,Petaling Jaya,Apartment,3,1,2,650,Unfurnished,Selangor,"Swimming Pool, Security, Playground, Minimart, Near KTM/LRT"
522,Apartmen Impian (Damansara Damai),830,Damansara Damai,Apartment,3,1,2,750,Partially Furnished,Selangor,"Playground, Security, Air-Cond, Near KTM/LRT"
1245,Apartment Anggerik (Prima Beruntung),600,Rawang,Apartment,3,1,2,801,Unfurnished,Selangor,"Playground, Minimart, Jogging Track"
1038,Apartment Bayu,1050,Petaling Jaya,Apartment,3,1,2,700,Partially Furnished,Selangor,"Security, Swimming Pool, Playground, Near KTM/LRT"
1039,Apartment Idaman,750,Petaling Jaya,Apartment,3,1,2,650,Unfurnished,Selangor,"Playground, Minimart, Near KTM/LRT"
1741,Apartment Impian Indah @ Sungai Buloh,750,Sungai Buloh,Flat,3,2,2,1200,Unfurnished,Selangor,"Minimart, Security"
1238,Apartment jasmin,800,Puncak Alam,Apartment,3,1,2,700,Unfurnished,Selangor,Security
641,Apartment Kelisa Ria,700,Kajang,Apartment,3,2,2,655,Unfurnished,Selangor,"Security, Playground, Near KTM/LRT"
1040,Apartment Kpg Tunku SS 1 PJ,2000,Petaling Jaya,Apartment,3,1,2,1312,Partially Furnished,Selangor,"Security, Playground, Air-Cond, Washing Machine"
523,Apartment Lestari (Damansara Damai),800,Damansara Damai,Apartment,3,1,2,650,Partially Furnished,Selangor,"Lift, Near KTM/LRT"
642,"Apartment Myra Putra, Kajang (Low Density)",1400,Kajang,Apartment,3,2,2,920,Unfurnished,Selangor,"Security, Lift, Playground, Gymnasium, Barbeque area, Club house, Air-Cond, Near KTM/LRT"
1567,Apartment Perdana,1750,Shah Alam,Apartment,3,1,2,850,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Jogging Track, Washing Machine"
524,Apartment Permai (Damansara Damai),999,Damansara Damai,Apartment,3,1,2,680,Partially Furnished,Selangor,"Security, Minimart, Playground, Gymnasium, Near KTM/LRT"
469,Apartment PR1MA One @ Laman View,1200,Cyberjaya,Apartment,3,2,2,950,Partially Furnished,Selangor,"Minimart, Sauna, Security, Lift, Playground, Multipurpose hall, Jogging Track"
643,Apartment Putra 1,1400,Kajang,Apartment,3,2,2,1150,Partially Furnished,Selangor,"Playground, Swimming Pool, Security, Gymnasium, Sauna, Lift, Barbeque area, Club house, Jogging Track, Minimart, Multipurpose hall, Air-Cond, Near KTM/LRT"
588,Apartment Saujana Gombak,1500,Gombak,Apartment,3,1,2,991,Fully Furnished,Selangor,"Minimart, Swimming Pool, Security, Playground, Air-Cond"
1321,Apartment Sentul,1700,Sentul,Condominium,3,2,2,1016,Fully Furnished,Kuala Lumpur,"Jogging Track, Tennis Court, Squash Court, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
1568,Apartment Seri Nilam Subang Permata,700,Shah Alam,Apartment,3,2,2,650,Unfurnished,Selangor,"Jogging Track, Playground"
1246,Apartment Seri Tulip,580,Rawang,Apartment,3,1,2,808,Unfurnished,Selangor,Security
1041,Apartment Sri Ara,1200,Petaling Jaya,Apartment,3,1,2,780,Partially Furnished,Selangor,"Swimming Pool, Security"
6,Apartment Sri Kayangan,950,Ampang,Apartment,3,1,2,800,Unfurnished,Kuala Lumpur,Security
470,Apex Tower @ CyberSquare,1200,Cyberjaya,Condominium,1,1,1,450,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Air-Cond, Washing Machine"
1042,Ara Hill,3000,Petaling Jaya,Condominium,3,2,3,1600,Partially Furnished,Selangor,"Playground, Security, Swimming Pool, Minimart, Lift, Gymnasium, Air-Cond, Near KTM/LRT"
98,Ara Sentral,2000,Ara Damansara,Condominium,1,1,1,571,Unfurnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track"
99,AraGreens Residences,1850,Ara Damansara,Service Residence,2,2,2,771,Fully Furnished,Selangor,"Gymnasium, Security, Minimart, Playground, Swimming Pool, Air-Cond, Near KTM/LRT, Washing Machine"
1043,AraTre' Residences,2200,Petaling Jaya,Service Residence,2,2,2,818,Partially Furnished,Selangor,"Gymnasium, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Playground, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
191,Araville,3800,Bangsar,Condominium,4,1,3,1740,Fully Furnished,Kuala Lumpur,"Tennis Court, Squash Court, Barbeque area, Gymnasium, Security, Playground, Swimming Pool, Lift, Sauna, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine"
935,Arcoris,3799,Mont Kiara,Condominium,2,1,2,900,Fully Furnished,Kuala Lumpur,"Jogging Track, Barbeque area, Swimming Pool, Gymnasium, Security, Playground, Lift, Sauna, Air-Cond, Near KTM/LRT, Washing Machine"
267,Arena Green,1000,Bukit Jalil,Condominium,2,1,2,786,Fully Furnished,Kuala Lumpur,"Playground, Minimart, Security, Lift, Swimming Pool, Jogging Track, Air-Cond, Near KTM/LRT"
520,AreTre Residences,2500,Damansara,Condominium,2,1,2,797,Unfurnished,Kuala Lumpur,"Security, Lift, Playground, Barbeque area, Swimming Pool, Sauna, Gymnasium, Multipurpose hall, Jogging Track, Squash Court, Tennis Court, Minimart, Air-Cond"
1569,"Arinna, Kemuning Utama",1200,Shah Alam,Apartment,3,2,2,1000,Unfurnished,Selangor,"Playground, Security, Lift"
525,Armanee,1900,Damansara Damai,Condominium,4,1,3,1670,Fully Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Tennis Court, Gymnasium, Air-Cond"
1044,Armanee Terrace I,1900,Petaling Jaya,Condominium,4,2,3,1670,Fully Furnished,Selangor,"Multipurpose hall, Security, Playground, Swimming Pool, Gymnasium, Tennis Court, Sauna, Squash Court, Barbeque area, Lift, Air-Cond, Washing Machine"
913,Arte KL,2999,Kuchai Lama,Condominium,3,2,3,2045,Fully Furnished,Kuala Lumpur,"Gymnasium, Barbeque area, Swimming Pool, Security, Lift, Air-Cond, Washing Machine"
936,Arte Mont Kiara,1700,Mont Kiara,Service Residence,1,1,1,494,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Air-Cond"
7,Arte Plus Jalan Ampang,1550,Ampang,Condominium,1,1,1,679,Fully Furnished,Kuala Lumpur,"Playground, Gymnasium, Swimming Pool, Lift, Security, Sauna, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine"
1570,Arte SW,1800,Shah Alam,Duplex,2,1,2,1080,Partially Furnished,Selangor,"Gymnasium, Barbeque area, Security, Swimming Pool, Lift, Playground, Air-Cond, Washing Machine"
90,Ascadia Lake View,1100,Ampang Hilir,Apartment,3,1,2,950,Unfurnished,Kuala Lumpur,Security
1450,Ascenda Residences @ SkyArena Setapak,1600,Setapak,Condominium,3,2,2,908,Partially Furnished,Kuala Lumpur,"Multipurpose hall, Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area, Air-Cond, Washing Machine, Internet"
1302,Ascotte Boulevard,1000,Semenyih,Service Residence,3,2,2,1014,Partially Furnished,Selangor,"Security, Lift, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Minimart, Jogging Track, Gymnasium, Internet, Air-Cond, Washing Machine"
8,Astaka Heights,1599,Ampang,Condominium,3,1,2,1087,Fully Furnished,Kuala Lumpur,"Sauna, Security, Minimart, Swimming Pool, Playground, Jogging Track, Barbeque area, Gymnasium, Air-Cond, Washing Machine"
1239,Astana Alam 1 Pangsapuri Blok Cindai,950,Puncak Alam,Apartment,3,2,2,850,Unfurnished,Selangor,"Jogging Track, Swimming Pool"
1240,Astana Alam Apartment 3,650,Puncak Alam,Apartment,3,1,2,720,Unfurnished,Selangor,"Jogging Track, Security, Swimming Pool"
310,Astana Lumayan,1500,Cheras,Service Residence,4,1,2,1200,Partially Furnished,Kuala Lumpur,"Playground, Security, Swimming Pool, Minimart, Multipurpose hall, Club house, Barbeque area, Air-Cond, Near KTM/LRT"
1742,Astana Mutiara,1000,Sungai Buloh,Condominium,3,1,2,850,Fully Furnished,Selangor,"Jogging Track, Air-Cond, Washing Machine"
1743,Astana Putra,900,Sungai Buloh,Condominium,3,1,2,838,Partially Furnished,Selangor,"Security, Playground, Near KTM/LRT"
745,Astana Square,1200,Kepong,Apartment,3,1,2,1000,Fully Furnished,Kuala Lumpur,"Security, Lift, Near KTM/LRT"
1678,Aster Green Residence,1688,Sri Petaling,Service Residence,2,1,2,800,Partially Furnished,Kuala Lumpur,"Barbeque area, Multipurpose hall, Security, Playground, Swimming Pool, Lift, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Minimart, Squash Court, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
833,Asteria,950,Klang,Apartment,3,2,2,950,Partially Furnished,Selangor,"Multipurpose hall, Lift, Security, Playground"
1380,Astetica Residences,1500,Seri Kembangan,Service Residence,2,1,2,748,Partially Furnished,Selangor,"Jogging Track, Security, Multipurpose hall, Barbeque area, Playground, Swimming Pool, Lift, Gymnasium, Minimart, Air-Cond, Near KTM/LRT"
937,Aston Kiara 3,2700,Mont Kiara,Condominium,4,2,3,1518,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Air-Cond, Washing Machine, Near KTM/LRT"
938,Aston Kiara 3 Mont Kiara,2800,Mont Kiara,Condominium,4,2,3,1598,Fully Furnished,Kuala Lumpur,"Security, Lift, Sauna, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Air-Cond"
939,"Aston Kiara 3, Mont Kiara",850,Mont Kiara,Condominium,3,2,3,1600,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Squash Court, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
9,Astoria Ampang,850,Ampang,Service Residence,1,1,1,200,Fully Furnished,Selangor,"Swimming Pool, Gymnasium, Jogging Track, Sauna, Security, Minimart, Tennis Court, Multipurpose hall, Playground, Barbeque area, Lift, Washing Machine, Air-Cond, Internet"
1667,Ativo Suites @ Damansara Avenue,2300,Sri Damansara,Service Residence,1,1,1,751,Fully Furnished,Kuala Lumpur,"Playground, Tennis Court, Lift, Swimming Pool, Squash Court, Sauna, Club house, Security, Minimart, Gymnasium, Air-Cond"
1126,Atmosfera,1500,Puchong,Condominium,2,1,2,1050,Fully Furnished,Selangor,"Security, Squash Court, Club house, Gymnasium, Sauna, Barbeque area, Playground, Swimming Pool, Multipurpose hall, Minimart, Lift, Air-Cond, Washing Machine"
1045,ATWATER @ Petaling Jaya,3500,Petaling Jaya,Service Residence,3,3,2,1205,Partially Furnished,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track, Air-Cond, Washing Machine"
1127,Aurora Residence @ Lake Side City,1300,Puchong,Service Residence,3,2,3,1141,Partially Furnished,Selangor,"Swimming Pool, Gymnasium, Security, Tennis Court, Multipurpose hall, Playground, Barbeque area, Sauna, Lift, Minimart, Jogging Track, Air-Cond, Near KTM/LRT"
1371,Avara Seputeh,2900,Seputeh,Service Residence,2,1,2,830,Fully Furnished,Kuala Lumpur,"Jogging Track, Multipurpose hall, Security, Playground, Gymnasium, Swimming Pool, Barbeque area, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
746,Avelon Tower,1100,Kepong,Service Residence,4,1,2,916,Partially Furnished,Kuala Lumpur,"Swimming Pool, Gymnasium, Security, Minimart, Playground, Jogging Track, Lift, Multipurpose hall, Barbeque area"
972,Avenue Court,1200,Old Klang Road,Apartment,3,1,2,950,Unfurnished,Kuala Lumpur,"Swimming Pool, Minimart, Jogging Track, Playground, Gymnasium, Security, Lift, Near KTM/LRT"
1571,Avenue Crest,1200,Shah Alam,Service Residence,1,1,1,560,Fully Furnished,Selangor,"Security, Lift, Air-Cond, Near KTM/LRT"
1128,Avilla Apartment,1300,Puchong,Apartment,3,1,2,968,Partially Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Air-Cond"
